creationDate,overDueDays,User,listingId,借款用途,借款金额,其他事项,协议利率,单笔最高借款金额,历史最高负债,历史记录,学习形式,工作信息,年龄,征信记录,待还金额,性别,成功借款次数,成功还款次数,收入情况,文化程度,期限,正常还清次数,毕业院校,注册时间,第一次成功借款时间,累计借款金额,级别,网络借贷平台借款余额,资金运用情况,还款来源,逾期（0-15天）还清次数,逾期（15天以上）还清次数,待收金额,逾期(0-15天)还清次数,逾期(15天以上)还清次数,逾期类型
2018-08-27T16:58:30,90,,61817455,,"4,342",暂无,18%,"11,082.00","32,697.40",,普通,工薪族,29,暂未提供,"16,326.09",男,13次,114 次,暂未提供,专科(高职),12 个月,69 次,内蒙古建筑职业技术学院,2015/12/18,2016/1/12,"51,025.00",,暂未提供,,,,,0.00,44 次,1 次,
2018-08-27T16:58:35,90,,86660910,,"11,480",暂无,18%,"11,480.00","16,643.89",,普通,工薪族,24,暂未提供,"16,393.73",男,3次,17 次,暂未提供,专科,6 个月,17 次,广西国际商务职业技术学院,2014/3/14,2016/9/15,"30,018.00",,暂未提供,,薪资收入,,,0.00,0 次,0 次,
2018-08-27T16:58:38,90,,16632496,,"30,000",暂无,20%,"30,000.00","36,644.88",,普通,工薪族,33,暂未提供,"11,096.29",男,7次,60 次,暂未提供,本科,24 个月,43 次,福州大学,2015/7/9,2015/7/9,"57,171.00",,292342.00,,,,,0.00,12 次,0 次,
2018-08-27T16:58:40,89,,110146631,日常消费,"2,963",暂无,22%,"12,327.00","20,203.98",,无,工薪族,30,暂未提供,"20,203.98",男,9次,55 次,暂未提供,无,6 个月,53 次,无,2016/5/26,2016/5/26,"42,206.00",,58286.00,日常消费,薪资收入,,,0.00,1 次,0 次,
2018-08-27T16:58:41,89,,105331053,,"3,584",暂无,22%,"11,000.00","13,968.60",,无,暂未提供,35,无逾期,"12,680.21",男,4次,23 次,5000-8000（含5000）,无,6 个月,23 次,无,2015/4/4,2015/12/27,"21,484.00",,暂未提供,,薪资收入,,,0.00,0 次,0 次,
2018-08-27T16:58:44,89,,110193212,日常消费,"1,103",暂无,22%,"12,000.00","17,647.10",,无,工薪族,41,暂未提供,"17,647.10",男,16次,73 次,暂未提供,无,6 个月,71 次,无,2016/5/17,2016/5/22,"53,711.00",,暂未提供,日常消费,薪资收入,,,0.00,2 次,0 次,
2018-08-27T16:58:47,89,,80624135,,"1,254",暂无,18%,"6,792.00","12,766.22",,普通,暂未提供,29,暂未提供,"3,575.68",女,6次,45 次,暂未提供,专科,9 个月,30 次,安徽工贸职业技术学院,2016/11/6,2017/6/18,"16,650.00",,暂未提供,,,,,0.00,11 次,3 次,
2018-08-27T16:58:49,89,,96878735,,"2,793",暂无,22%,"10,000.00","16,466.52",,普通,工薪族,28,暂未提供,"13,311.91",男,13次,63 次,暂未提供,本科,6 个月,63 次,广东商学院,2015/8/30,2015/10/1,"60,842.00",,暂未提供,,薪资收入,,,0.00,0 次,0 次,
2018-08-27T16:58:51,89,,74893340,,"12,500",暂无,18%,"12,500.00","13,752.00",,普通,私营业主,26,暂未提供,"10,601.91",女,2次,9 次,暂未提供,专科,12 个月,3 次,内蒙古商贸职业学院,2017/9/30,2017/9/30,"15,971.00",,暂未提供,,薪资收入,,,0.00,3 次,2 次,
2018-08-27T16:58:57,89,,86828140,,"10,400",暂无,18%,"10,400.00","13,717.65",,自考,暂未提供,24,暂未提供,"13,717.65",男,9次,43 次,5000-8000（含5000）,本科,9 个月,43 次,沈阳工业大学,2016/8/29,2016/8/29,"22,767.00",,暂未提供,,薪资收入,,,0.00,0 次,0 次,
