amount,avatarUrl,bidAmountAverage,bidDurationAverage,feeRate,funding,introduction_x,isOpen,nickName,overdueRate30,overdueRate30AverageStr,overdueRate60,overdueRate60AverageStr,overdueRate90,overdueRate90AverageStr,plannerName,rate,runDays,strategyId,strategyTitle,strategyType,Unnamed: 0,Unnamed: 0.1,introduction_y,popularity,sumBidAmount,sumSelfBidAmount,userId,yieldRate,sumBidAmountDetail,registerDate
200,https://jc01.info.user.ppdai.com/f17f0423859746f0a8a5df00345dd987.jpg,31981827.0,7,0.0,197,其他条件无限制,0,开心奶爸,0,--,0,--,0,--,,0.1036,9,5387,6月以上高利率陪标,0,62,62,投资多年，数据积累，经验丰富。,745,4184770.0,94170.0,19414145,18.88,8063598,2016-02-07
200,https://jc01.info.user.ppdai.com/8366276e235649bc90c10ff1416d3fc6.jpg,9432000.2667,12,0.0,197,大富系列，赔标精选,0,拍大富,0,--,0,--,0,--,,0.1053,41,4048,大富9-36月赔标,0,63,63,长期投资拍拍贷，专注于从大数据中挖掘统计规律，回溯建立量化模型，精于投资策略的设计及收益分析，追求长期稳定的高收益。以诚为本，行以致远。,743,34662025.0,276440.0,49348686,21.48,6015088,2017-04-10
200,https://jc01.info.user.ppdai.com/851279a87aa44765b9dee19b74c70454.jpg,14680031.1,6,0.0,193,主投短周期标，增加复投以提高收益,0,向内行走,0,--,0,--,0,--,,0.105,69,3580,北斗优选AA,0,47,47,计算机专业背景，10余年数据挖掘从业经验，擅长大数据分析。4年P2P投资经历。2015年开始投资拍拍贷，通过对信用标的多维度投标及历史数据分析，积累了丰富的标的信息，逐渐建立了稳健的投标模型。,977,34329969.0,618365.0,17521918,12.95,5780585,2015-12-25
200,https://jc01.info.user.ppdai.com/ed45a6c0b57c41569976dd763b77a273.jpg,4059741.1333,12,0.0,184,女赔标,0,seset,0,--,0,--,0,--,,0.1053,27,4760,窈窕淑女@稳固收益,0,101,101,自从投资拍拍贷以来，一直长期坚持自定义选标，投标维度紧随行情调整，保证了最大收益率和资金利用率的动态平衡，获得了较高的稳定收益。,393,5479204.0,829122.0,3996158,16.64,4640542,2014-10-15
200,https://jc01.info.user.ppdai.com/f44d7aa1b0574a00be0862f5f85bfe07.jpg,31900800.4667,7,0.0,173,省力、省心、收益稳定,0,风雨无阻,0,--,0,--,0,--,,0.1036,37,4258,风雨彩虹（赔标）,0,153,153,"2015年1月投资拍拍贷,主要信用标投资,通过几年积累,总结一定经验,与大家共享稳定收益.",182,2158474.0,81949.0,5003090,14.07,8687983,2015-01-16
200,https://jc01.info.user.ppdai.com/d08ccacf08a246ed949ccb4440d9ee74.jpg,1403400.1333,6,0.0,161,信用标荒，不时之需,0,BW之一念之间,0,--,0,--,0,--,,0.1027,29,4592,BW之不时之需,0,106,106,有缘的自然有缘，愿远离世俗，还一片净土,379,6534859.0,22488.0,58397970,15.79,5494771,2017-07-17
200,https://jc01.info.user.ppdai.com/b2a417e013f14f69ae44b7232546e830.JPG,22549036.4667,6,0.0,160,短期陪标策略，防止资金站岗。,0,虔诚的Rumi,0,--,0,--,0,--,,0.1032,6,5615,Alpha_v3,0,29,29,15年10月注册拍拍贷，17年4月研究自定义，开始成百上千次的回测，基本每一个微小变量的变化都曾回测比对过进行分析，不过度挖掘数据，以避免陷入偶然性的陷阱。,1229,24861538.0,278625.0,15286073,16.689999999999998,17576230,2015-10-30
200,https://jc01.info.user.ppdai.com/ddd4e77f68e1490397f66510d3bda2bc.jpg,32680616.7333,7,0.0,128,省心省力，资金不站岗。,0,Garrett,0,--,0,--,0,--,,0.1034,2,5740,布衣省力,0,150,150,2016年开始投资拍拍贷，从刚开始的一无所知，只追求高利率的散标，到经历了大量逾期，开始注重标的整体风险管控。投资风格从此一步步的走向理性和成熟。希望我的策略能帮您获得稳健可持续的收益。,208,2869768.0,553587.0,1265568,13.38,5039917,2013-10-31
200,https://jc01.info.user.ppdai.com/2289298cdedf415e8416e0e1b6e3d4c2.jpg,31981827.0,7,0.0,128,陪标策略，稳健为主。,0,传奇,0,--,0,--,0,--,,0.1036,6,5633,传奇陪标10号,0,164,164,10余年金融从业经历，对小额信用借款的风险点及防范措施有深入研究，投资风格稳健，追求长期稳定收益。,132,1147917.0,18010.0,38573111,16.259999999999998,2198093,2016-12-01
200,https://jc01.info.user.ppdai.com/5cd43279b24746f39b89abdcc3d38f89.jpg,4794300.4333,6,0.0,83,短期赔资金周转快，解决资金站岗,0,重剑无锋,0,--,0,--,0,--,,0.1027,2,5779,六月以下短期赔,0,7,7,投资拍拍贷近三年，早期投赔一年多，后转信，多维度数据分析获得的投标策略安全可靠抗风险能力强，目前每月当月收益率均在17-20%之间，累计收益率将稳步提升，策略回溯逾期率情况详见策略师说,1933,20433283.0,126783.0,15397976,14.23,3582367,2015-11-03
