CreditCode,DebtdealId,ListingId,OwingNumber,PriceforSale,PriceforSaleRate
AA,139486956,129969032,5,278.2,10.5
AA,139486955,129968449,4,64.45,10.5
AA,139486954,129918099,4,335.74,10.5
AA,139488719,131501786,5,206.67,10.5
AA,139488718,131498466,4,334.46,10.5
AA,139488717,131498129,4,334.48,10.5
AA,139488716,131490580,5,388.12,10.5
AA,139488715,131474043,5,420.06,10.5
AA,139488714,131462229,5,420.06,10.5
AA,139488712,131454856,5,420.06,10.5
AA,139488711,131454789,5,420.05,10.5
AA,139488710,131453567,5,420.06,10.5
AA,139488709,131388521,5,420.06,10.5
AA,139488708,131388520,5,420.06,10.5
AA,139488707,131374512,5,420.18,10.5
AA,139488706,131357576,5,420.18,10.5
AA,139488705,131345485,5,420.18,10.5
AA,139488704,130867590,5,420.54,10.5
AA,139488744,1000737811,6,17.69,11.0
AA,139488880,130472393,5,421.04,10.5
AA,139488879,130455934,5,421.03,10.5
AA,139488878,130451867,5,421.04,10.5
AA,139488877,130446678,4,335.25,10.5
AA,139488876,130434901,5,421.04,10.5
AA,139488875,130422872,5,421.04,10.5
AA,139488874,130417850,5,421.04,10.5
AA,139488873,130414366,3,250.26,10.5
AA,139488872,130411015,4,335.25,10.5
AA,139488871,130410907,5,421.03,10.5
AA,139488870,130406531,5,421.04,10.5
AA,139488869,130403166,5,421.03,10.5
AA,139488867,130378206,5,421.16,10.5
AA,139488866,130363969,5,421.16,10.5
AA,139489738,101008872,4,17.36,10.5
AA,139491035,128069777,4,134.92,10.5
AA,139491146,108274181,2,11.44,10.5
AA,139491545,130306513,4,134.14,10.5
AA,139491517,100260573,4,173.75,10.5
AA,139491619,127001096,4,67.63,10.5
AA,139491697,126849902,4,67.67,10.5
AA,139491696,126849239,4,67.67,10.5
AA,139491695,126847572,4,67.67,10.5
AA,139491694,126845899,4,67.67,10.5
AA,139491693,126827087,4,67.67,10.5
AA,139491692,126827002,4,67.67,10.5
AA,139491909,129264826,4,33.64,10.5
AA,139491905,129245615,4,33.63,10.5
AA,139491903,129216475,4,33.63,10.5
AA,139491899,129204682,4,33.64,10.5
AA,139492221,129166749,4,33.64,10.5
AA,139492216,129164678,4,33.63,10.5
AA,139492210,129150124,4,33.64,10.5
AA,139492207,129147318,4,33.63,10.5
AA,139492692,127109871,4,67.6,10.5
AA,139492691,127105660,4,67.61,10.5
AA,139492690,127103624,4,67.61,10.5
AA,139492689,127103208,4,67.61,10.5
AA,139492688,127099646,4,67.62,10.5
AA,139492687,127098732,4,67.61,10.5
AA,139492686,127098694,4,67.61,10.5
AA,139492685,127085695,4,67.61,10.5
AA,139492684,127041887,4,67.63,10.5
AA,139492783,127468587,4,67.55,10.5
AA,139492782,127391683,4,67.57,10.5
AA,139492781,127359730,4,67.56,10.5
AA,139492780,127334125,4,67.56,10.5
AA,139492779,127280327,4,67.59,10.5
AA,139492778,127255908,4,67.59,10.5
AA,139492777,127112273,4,67.61,10.5
AA,139492775,127099501,4,67.63,10.5
AA,139492774,127095370,4,67.61,10.5
AA,139493102,127095375,4,40.58,10.5
AA,139493101,121586802,2,33.98,10.5
AA,139493100,121584939,2,33.98,10.5
AA,139493099,121583676,2,33.99,10.5
AA,139493098,121581705,2,33.98,10.5
AA,139493329,123288571,3,25.42,10.5
AA,139493328,123288151,3,25.42,10.5
AA,139493327,123285890,3,25.42,10.5
AA,139493326,123284920,3,25.42,10.5
AA,139493325,123284572,3,25.42,10.5
AA,139493324,123284559,3,25.42,10.5
AA,139493323,123280387,3,25.42,10.5
AA,139493322,123278520,3,25.42,10.5
AA,139493321,123270527,3,25.47,10.5
AA,139493320,123265597,3,25.42,10.5
AA,139493437,126076552,3,25.31,10.5
AA,139493436,126074947,3,25.31,10.5
AA,139493435,124091518,3,25.42,10.5
AA,139493434,124086548,3,25.42,10.5
AA,139493433,124086338,3,25.42,10.5
AA,139493432,124085092,3,25.42,10.5
AA,139493431,124082470,3,25.42,10.5
AA,139493430,124081525,3,25.42,10.5
AA,139493429,124080415,3,25.42,10.5
AA,139493428,124079217,3,25.42,10.5
AA,139493427,124078465,3,25.42,10.5
AA,139493530,126244224,3,25.31,10.5
AA,139493529,124268255,3,25.42,10.5
AA,139493528,124198306,3,25.42,10.5
AA,139493527,124197494,3,25.42,10.5
AA,139493526,124195896,3,25.42,10.5
AA,139493525,124189629,3,25.42,10.5
AA,139493524,124189307,3,25.42,10.5
AA,139493522,124182666,3,25.42,10.5
AA,139493521,124178848,3,25.42,10.5
AA,139493520,124177552,3,25.42,10.5
AA,139493519,124176044,3,25.42,10.5
AA,139493518,124174152,3,25.42,10.5
AA,139493517,124170576,3,25.42,10.5
AA,139493516,124166697,3,25.42,10.5
AA,139493515,124164984,3,25.42,10.5
AA,139493512,123564946,3,25.45,10.5
AA,139493830,128817822,4,33.67,10.5
AA,139493828,128815008,4,33.68,10.5
AA,139493824,128809439,4,33.66,10.5
AA,139495530,135947873,6,50.12,9.5
AA,139495520,135920114,6,50.12,9.5
AA,139495517,135916167,6,50.12,9.5
AA,139495838,128091729,4,33.7,10.5
AA,139496619,110173063,3,17.55,10.5
AA,139496681,109884113,3,17.21,10.5
AA,139496679,109698496,3,17.23,10.5
AA,139496678,109698238,3,17.21,10.5
AA,139496676,109453775,3,17.21,10.5
AA,139496674,109409699,3,17.21,10.0
AA,139496672,109409302,3,17.23,10.5
AA,139496670,109127489,3,17.24,10.5
AA,139496668,109028121,3,34.81,10.5
AA,139496667,108878858,3,17.2,10.5
AA,139496666,108877547,3,17.23,10.5
AA,139496665,108583443,3,17.19,10.5
AA,139496972,116877203,4,213.22,10.0
AA,139496971,107449192,2,11.47,10.0
AA,139496970,107380340,2,11.46,10.0
AA,139496969,107350661,2,11.47,10.0
AA,139496968,107162448,2,11.47,10.0
AA,139496957,104371641,2,13.82,10.0
AA,139497162,135572755,12,501.65,10.0
AA,139497157,135556222,12,501.65,10.0
AA,139497207,133165206,6,504.02,10.0
AA,139497381,133125450,5,418.39,10.0
AA,139497450,133178789,5,418.26,10.0
AA,139497449,133176402,5,418.26,10.0
AA,139497448,133169393,5,418.25,10.0
AA,139497447,133131294,5,418.38,10.0
AA,139497446,133119692,5,418.38,10.0
AA,139497441,133108806,5,418.39,10.0
AA,139498033,129523600,5,42.19,10.5
AA,139498026,129470002,5,42.2,10.5
AA,139498025,129466839,5,42.19,10.5
AA,139498022,128919479,4,33.64,10.5
AA,139498018,128290712,4,33.7,10.5
AA,139498016,128245307,4,33.71,10.5
AA,139498102,127760530,4,33.75,10.5
AA,139498101,127419178,4,67.57,10.5
AA,139498099,109945458,3,68.77,10.5
AA,139498234,129470535,5,42.19,10.5
AA,139498233,129470368,5,42.19,10.5
AA,139498228,129464080,5,42.19,10.5
AA,139498225,129463214,5,42.18,10.5
AA,139500102,127653586,3,25.21,10.5
AA,139500098,124532928,3,25.39,10.5
AA,139500096,124235198,3,25.4,10.5
AA,139500094,124233584,3,25.42,10.5
AA,139500176,124031366,3,25.42,10.5
AA,139500175,124018557,3,25.43,10.5
AA,139500174,123967472,3,25.43,10.5
AA,139500173,123769239,3,25.43,10.5
AA,139500172,123579633,3,25.46,10.5
AA,139500171,123301175,3,25.41,10.5
AA,139500170,123301169,3,25.4,10.5
AA,139500169,123295539,3,25.47,10.5
AA,139500168,123295440,3,25.47,10.5
AA,139500167,123292299,3,25.47,10.5
AA,139500166,123291978,3,25.41,10.5
AA,139500165,123155130,3,25.48,10.5
AA,139500164,123125977,3,25.4,10.5
AA,139500665,124499405,3,25.39,10.5
AA,139500657,123874114,3,25.42,10.5
AA,139500838,123372867,3,25.47,10.5
AA,139704031,120264886,2,169.97,9.5
AA,139704030,119981765,2,169.97,9.5
AA,139704027,118898280,5,283.51,10.0
AA,139704023,110936839,6,102.81,9.5
AA,139704022,110907726,6,102.84,9.5
AA,139704020,110902295,6,102.82,9.5
AA,139704019,110899692,6,102.84,9.5
AA,139704018,110877517,6,102.89,9.5
AA,139704016,110861856,6,102.87,9.5
AA,139704014,110634837,6,102.95,9.5
AA,139704012,110623361,6,102.93,9.5
AA,139704009,109958088,5,213.85,9.5
AA,139704008,107394044,2,45.88,10.0
AA,139704005,107394014,2,45.88,10.0
AA,139704004,107388736,2,45.89,10.0
AA,139704000,107387730,2,45.89,10.0
AA,139703999,107381103,2,45.88,10.0
AA,139703998,107380804,2,45.89,10.0
AA,139703995,107156483,2,45.89,10.0
AA,139703994,107083119,2,45.91,10.0
AA,139703993,101179701,10,288.21,9.5
AA,139703992,100582356,4,78.29,9.5
AA,139703990,99112028,3,986.8,9.5
AA,139703988,98378905,7,120.47,10.0
AA,139703985,98197138,3,25.97,9.5
AA,139703982,98196993,3,26.0,9.5
AA,139703981,98192402,9,51.97,9.5
AA,139704385,119555489,5,283.5,10.0
AA,139704383,119046019,5,283.52,10.0
AA,139704381,117070784,4,227.07,10.0
AA,139704376,107445790,2,45.89,10.0
AA,139707291,123170415,6,33.96,10.5
AA,139707288,123167956,6,33.96,10.5
AA,139707284,123001642,6,34.0,10.5
AA,139707283,122938372,3,25.52,10.5
AA,139707280,122743689,6,34.03,10.5
AA,139707279,122656840,6,34.03,10.5
AA,139707275,122615868,6,33.99,10.5
AA,139707274,122474107,6,34.0,10.5
AA,139707271,122463771,6,34.0,10.5
AA,139707270,122364877,6,34.0,10.5
AA,139707264,121992492,6,34.0,10.5
AA,139707260,121567901,6,34.0,10.5
AA,139707468,122521731,6,34.0,10.5
AA,139707464,122451565,6,34.0,10.5
AA,139708383,130450029,11,46.31,10.5
AA,139708378,124570460,3,25.43,10.5
AA,139708371,124360293,3,25.42,10.5
AA,139709148,122712827,6,34.0,10.5
AA,139727808,135904633,6,50.15,9.5
AA,139727798,135874654,6,50.15,9.5
AA,139727793,135839168,6,50.14,9.5
AA,139727905,135855386,6,50.15,9.5
AA,139727901,135853749,6,50.15,9.5
AA,139727894,135848260,6,50.14,9.5
AA,139727889,135844920,6,50.14,9.5
AA,139727884,135838669,6,50.15,9.5
AA,139728011,135730756,6,50.16,9.5
AA,139728010,135728072,6,50.15,9.5
AA,139728009,135727956,6,50.15,9.5
AA,139728008,135727207,6,50.15,9.5
AA,139728007,135721728,6,50.16,9.5
AA,139728006,135717864,6,50.15,9.5
AA,139728005,135717632,6,50.16,9.5
AA,139728004,135709871,6,50.16,9.5
AA,139728003,135703568,6,50.15,9.5
AA,139728002,135695460,6,50.15,9.5
AA,139728001,135689046,6,50.15,9.5
AA,139728000,135681930,6,50.15,9.5
AA,139727999,135655155,6,50.15,9.5
AA,139727998,135623470,6,50.15,9.5
AA,139730586,106773911,2,114.85,10.0
AA,139730565,104665244,2,115.23,10.0
AA,139730885,108815558,2,114.58,10.5
AA,139730884,108808109,2,114.58,10.5
AA,139730883,108805871,2,114.57,10.5
AA,139730882,108805373,2,114.58,10.5
AA,139730881,108804224,2,114.58,10.5
AA,139730880,108796256,2,114.58,10.5
AA,139730879,108796146,2,114.58,10.5
AA,139730878,108795532,2,114.58,10.5
AA,139730877,108791360,2,114.57,10.5
AA,139730876,108791329,2,114.59,10.5
AA,139730875,108790571,2,114.58,10.5
AA,139730874,108789531,2,114.54,10.5
AA,139730873,108789139,2,114.58,10.5
AA,139730872,108788072,2,114.58,10.5
AA,139730944,108958278,2,114.58,10.5
AA,139731003,108995015,2,114.57,10.5
AA,139731336,121123677,8,340.36,11.0
AA,139731335,121123634,8,340.36,11.0
AA,139731334,121121954,8,340.58,11.0
AA,139731333,121120847,8,340.58,11.0
AA,139731332,121120670,8,340.47,11.0
AA,139731331,121120424,8,340.56,11.0
AA,139731330,121118630,8,340.56,11.0
AA,139731329,121118060,8,340.57,11.0
AA,139731328,121117474,8,340.57,11.0
AA,139731327,121117416,8,340.47,11.0
AA,139731326,121115910,8,340.58,11.0
AA,139731325,121115656,8,340.57,11.0
AA,139731324,121114102,8,340.56,11.0
AA,139731323,121112312,8,340.36,11.0
AA,139731322,121112300,8,340.36,11.0
AA,139731321,121112087,8,340.35,11.0
AA,139731320,121111783,8,340.57,11.0
AA,139731318,121111566,8,340.56,11.0
AA,139731317,121109994,8,340.61,11.0
AA,139731939,133089391,5,418.39,9.5
AA,139731971,133092702,5,139.74,9.5
AA,139736233,113855323,6,51.43,11.5
AA,139736232,113695569,12,68.48,11.0
AA,139736231,111573097,17,72.78,11.5
AA,139736230,104286758,10,57.51,10.5
AA,139736229,99532518,9,52.06,10.5
AA,139736227,99440927,3,52.1,10.5
AA,139736226,99424131,3,52.12,10.5
AA,139736346,136747282,12,50.05,10.0
AA,139736345,136689102,6,50.06,9.0
AA,139736343,136676150,12,50.05,10.0
AA,139736339,136572809,6,50.06,9.0
AA,139736337,135931068,12,50.13,10.0
AA,139736335,135909701,12,50.13,10.0
AA,139736334,135860665,6,50.14,9.5
AA,139736329,135283260,6,50.2,9.5
AA,139736327,135261269,6,50.19,9.5
AA,139736326,135246422,12,50.2,10.0
AA,139736325,135243553,12,50.2,10.0
AA,139736321,135205796,12,50.2,10.0
AA,139736319,135078337,12,50.15,10.0
AA,139736499,133999151,5,41.76,9.5
AA,139736617,128762684,4,33.67,10.5
AA,139737893,133080131,5,418.5,10.0
AA,139740503,1001511272,4,172.76,10.5
AA,139740497,130484155,11,185.3,10.5
AA,139740662,134537416,6,100.52,9.5
AA,139740661,134537160,6,100.52,9.5
AA,139740660,134537148,6,100.52,9.5
AA,139740659,134537134,6,100.52,9.5
AA,139740658,134537077,6,100.51,9.5
AA,139740657,134537053,6,100.52,9.5
AA,139740656,134536938,6,100.52,9.5
AA,139740655,134536659,6,100.51,9.5
AA,139740756,136186672,6,100.19,9.0
AA,139740753,135759337,6,100.3,9.5
AA,139740751,135759240,6,100.3,9.5
AA,139742962,136102782,6,50.11,9.0
AA,139742961,136082771,6,50.11,9.0
AA,139742958,135956159,6,50.13,9.5
AA,139742956,135894612,6,50.12,9.0
AA,139742955,135892960,6,50.14,9.5
AA,139742953,135221429,6,351.37,9.5
AA,139742952,135221383,6,180.69,9.5
AA,139742951,135221264,6,501.96,9.5
AA,139742950,135221148,6,501.97,9.5
AA,139742949,135220737,6,50.2,9.5
AA,139742948,135220378,6,50.19,9.5
AA,139742947,135220330,6,50.19,9.5
AA,139742946,135220278,6,50.19,9.5
AA,139742945,135220097,6,50.2,9.5
AA,139742944,135219985,6,50.21,9.5
AA,139744918,106676535,2,22.98,10.0
AA,139747080,119798477,5,28.4,10.0
AA,139747079,119790368,5,28.4,10.0
AA,139747078,119787566,5,28.4,10.0
AA,139747364,135472107,6,50.17,9.5
AA,139747401,127910405,4,101.24,10.5
AA,139747400,127391830,4,101.39,10.5
AA,139747399,126657892,4,101.56,10.5
AA,139747398,126165015,4,101.72,10.5
AA,139747397,126048537,3,75.97,10.5
AA,139747396,125953728,3,75.99,10.5
AA,139747395,125812965,3,76.02,10.5
AA,139747394,125812935,3,76.02,10.5
AA,139747393,125812924,3,76.02,10.5
AA,139747392,125051449,6,135.23,10.5
AA,139747390,124738001,6,33.84,10.5
AA,139747389,124436472,3,152.44,10.5
AA,139747387,123913228,6,33.85,10.5
AA,139747385,123512193,6,86.32,10.5
AA,139748048,97158703,3,13.02,9.5
AA,139748047,97094774,3,13.02,9.5
AA,139748046,97093027,3,13.02,9.5
AA,139748045,97086969,3,13.02,9.5
AA,139748044,97049928,3,13.03,9.5
AA,139748043,97046783,3,13.02,9.5
AA,139748042,97036404,3,13.02,9.5
AA,139748041,96969085,3,13.03,9.5
AA,139748494,135470050,6,50.18,9.5
AA,139748493,135461921,6,50.18,9.5
AA,139748492,135458546,6,50.18,9.5
AA,139748491,135458447,6,50.18,9.5
AA,139748490,135458304,6,50.18,9.5
AA,139748644,135853824,12,50.15,10.0
AA,139748643,135504337,6,50.18,9.5
AA,139748642,134863153,6,50.23,9.5
AA,139748641,134862893,6,50.24,9.5
AA,139748640,134862754,6,50.24,9.5
AA,139748639,134862299,6,50.23,9.5
AA,139748638,134579241,6,50.25,9.5
AA,139748636,134419082,6,50.28,9.5
AA,139748635,134377366,6,50.28,9.5
AA,139748630,131384734,11,46.21,10.5
AA,139748629,131376541,11,46.22,10.5
AA,139748628,131376299,11,46.22,10.5
AA,139748624,130799661,5,42.07,10.5
AA,139748621,130762429,5,42.07,10.5
AA,139748620,130232757,11,46.33,10.5
AA,139748619,130202855,11,46.33,10.5
AA,139748709,129284683,4,33.64,10.5
AA,139748708,127671518,4,33.74,10.5
AA,139748705,127408445,4,33.8,10.5
AA,139748704,127408432,4,33.8,10.5
AA,139748703,127408418,4,33.8,10.5
AA,139748702,127408387,4,33.8,10.5
AA,139748701,127408381,4,33.8,10.5
AA,139748700,127408377,4,33.8,10.5
AA,139748699,127408375,4,33.8,10.5
AA,139748694,127380219,4,33.8,10.5
AA,139748685,127379179,4,33.79,10.5
AA,139748684,127375836,4,33.8,10.5
AA,139748683,127374604,4,33.79,10.5
AA,139748681,127363374,4,33.8,10.5
AA,139748740,127423541,4,33.8,10.5
AA,139748739,127423501,4,33.8,10.5
AA,139748738,127423486,4,33.8,10.5
AA,139748737,127423433,4,33.8,10.5
AA,139748749,127286279,4,33.8,10.5
AA,139748748,127285761,4,33.8,10.5
AA,139749385,125883785,3,253.34,10.5
AA,139749374,125821059,3,178.91,10.5
AA,139749476,125882424,3,253.33,10.5
AA,139753311,122955302,6,34.03,10.5
AA,139753310,122945319,3,25.52,10.5
AA,139753309,122942902,3,25.52,10.5
AA,139753308,122939086,6,34.03,10.5
AA,139753307,122937147,3,25.52,10.5
AA,139753306,122932294,6,34.03,10.5
AA,139753305,122921170,3,25.52,10.5
AA,139753819,123018190,9,38.32,11.0
AA,139753818,123013262,9,38.32,11.0
AA,139753812,123003983,9,38.32,11.0
AA,139753810,123002577,9,38.32,11.0
AA,139753805,122976005,9,38.32,11.0
AA,139753799,122890822,3,25.52,10.5
AA,139753797,122619007,6,34.03,10.5
AA,139753920,122999668,6,34.03,10.5
AA,139753919,122990860,3,25.52,10.5
AA,139753918,122990162,3,25.52,10.5
AA,139753915,122971727,9,38.28,10.5
AA,139753914,122969330,3,25.52,10.5
AA,139753911,122950712,3,25.52,10.5
AA,139754111,133699271,6,503.43,9.5
AA,139754105,122767030,6,34.02,10.5
AA,139754104,122704043,6,34.01,10.5
AA,139754103,122701714,6,34.02,10.5
AA,139754101,122602998,6,34.02,10.5
AA,139754100,122602007,6,34.02,10.5
AA,139754098,122467531,6,34.02,10.5
AA,139754096,122385397,6,34.02,10.5
AA,139754095,122356493,6,34.02,10.5
AA,139754094,122320508,6,34.02,10.5
AA,139754093,122276018,6,34.01,10.5
AA,139754092,122273413,6,34.02,10.5
AA,139754091,122258498,6,34.01,10.5
AA,139754089,122151235,6,34.02,10.5
AA,139754088,122140562,6,34.01,10.5
AA,139754086,121935671,6,34.02,10.5
AA,139754083,121413540,6,34.02,10.5
AA,139754446,136888081,6,50.03,9.0
AA,139755631,135437907,6,200.72,9.5
AA,139755629,135437886,6,200.72,9.5
AA,139755628,135437827,6,200.73,9.5
AA,139755627,135437768,6,200.72,9.5
AA,139755626,135437759,6,200.73,9.5
AA,139755624,135437644,6,200.72,9.5
AA,139755623,135437619,6,200.72,9.5
AA,139755621,135437539,6,200.72,9.5
