User,creationDate,listingId,title,借款用途,借款金额,协议利率,单笔最高借款金额,历史最高负债,学习形式,工作信息,年龄,待还金额,性别,成功借款次数,成功还款次数,收入情况,文化程度,期限,正常还清次数,毕业院校,注册时间,第一次成功借款时间,累计借款金额,级别,网络借贷平台借款余额,还款来源,逾期（0-15天）还清次数,逾期（15天以上）还清次数
pdu7****27132,2018-07-09 15:57:10,120696345,手机app用户的借款,日常消费,1000.0,20.0,6100.0,11352.17,无,私营业主,40,10173.51,男,12,33,5000-8000（含5000）,无,3,31,无,2017-04-01,2017-04-01 18:09:02,26108.0,B,0.0,薪资收入,2,0
pdu8****65164,2018-07-09 15:58:41,120696585,手机app用户的第13次闪电借款,日常消费,515.0,20.0,11000.0,13824.07,无,暂未提供,31,10517.18,女,17,70,5000-8000（含5000）,无,3,62,无,2017-01-13,2017-04-26 16:29:46,49108.0,B,141799.0,薪资收入,8,0
pdu6****15851,2018-07-09 16:03:23,120697323,pdu6****15851第11次借款,装修,2183.0,20.0,14685.0,26339.19,无,私营业主,35,19467.4,女,11,60,15000及以上,无,3,60,无,2016-11-01,2016-11-02 13:50:35,75459.0,B,0.0,经营收入,0,0
pdu5****33187,2018-07-09 16:04:08,120697437,手机app用户的第10次闪电借款,日常消费,2434.0,20.0,7069.0,10527.21,无,私营业主,34,7611.89,女,12,52,8000-15000（含8000）,无,3,40,无,2016-10-18,2016-10-28 08:47:13,41426.0,B,1322.0,经营收入,12,0
pdu1****88227,2018-07-09 16:06:45,120697838,手机app用户的第8次闪电借款,日常消费,3125.0,20.0,15000.0,19232.82,无,私营业主,28,19232.82,男,10,44,5000-8000（含5000）,无,3,43,无,2017-07-05,2017-07-05 19:45:54,50984.0,B,0.0,薪资收入,1,0
pdu7****22118,2018-07-09 16:20:16,120699906,手机app用户的第6次闪电借款,生产经营,800.0,20.0,2502.0,5079.14,无,暂未提供,27,5079.14,女,10,28,5000-8000（含5000）,无,3,24,无,2017-07-30,2017-08-03 09:37:14,9923.0,B,0.0,薪资收入,4,0
pdu5****72105,2018-07-09 16:25:21,120700672,手机app用户的第7次闪电借款,日常消费,500.0,20.0,6700.0,7859.94,无,暂未提供,24,6028.39,女,8,37,5000-8000（含5000）,无,3,37,无,2017-01-04,2017-03-23 16:03:03,17277.0,B,0.0,薪资收入,0,0
pdu****3782,2018-07-09 16:26:27,120700849,手机app用户的第10次闪电借款,旅游,1077.0,20.0,10000.0,14368.73,无,暂未提供,24,10340.74,女,11,44,5000-8000（含5000）,无,3,44,无,2015-09-08,2017-05-04 16:41:07,43262.0,B,0.0,薪资收入,0,0
pdu4****65413,2018-07-09 16:36:32,120702359,手机app用户的借款,兼职创业,1000.0,20.0,4800.0,12419.16,无,暂未提供,20,8356.11,女,9,26,2000-5000（含2000）,无,3,26,无,2017-06-30,2017-07-02 11:02:56,16900.0,B,0.0,薪资收入,0,0
pdu3****57245,2018-07-10 14:00:12,120826631,pdu3****57245第9次借款,日常消费,911.0,20.0,6800.0,10954.79,无,暂未提供,32,6146.21,女,11,42,5000-8000（含5000）,无,3,42,无,2017-08-21,2017-09-04 16:29:24,29874.0,B,7323.0,个人存款,0,0
pdu3****50838,2018-07-10 14:14:59,120828749,pdu3****50838第8次借款,日常消费,2000.0,20.0,11398.0,23858.12,无,暂未提供,37,22773.1,男,11,51,8000-15000（含8000）,无,3,50,无,2016-05-30,2016-05-30 09:44:58,59341.0,B,0.0,经营收入,1,0
pdu5****17558,2018-07-10 15:16:38,120837652,pdu5****17558第8次借款,日常消费,677.0,20.0,10500.0,11554.59,无,暂未提供,31,11091.78,女,10,40,2000-5000（含2000）,无,3,40,无,2017-11-06,2017-11-06 12:26:39,27406.0,B,0.0,薪资收入,0,0
pdu1****53608,2018-07-10 15:21:34,120838372,pdu1****53608第17次借款,日常消费,699.0,20.0,9565.0,21266.15,自考,私营业主,31,9666.39,男,18,91,15000及以上,本科,3,63,武汉大学,2016-08-03,2016-08-03 07:31:48,65944.0,B,107389.0,经营收入,28,0
pdu6****44187,2018-07-10 15:30:49,120839679,手机app用户的第7次闪电借款,日常消费,2000.0,20.0,7000.0,13825.19,无,暂未提供,39,12245.59,女,10,32,8000-15000（含8000）,无,3,32,无,2017-04-01,2017-04-06 00:10:51,26000.0,B,8.0,薪资收入,0,0
pdu3****37402,2018-07-10 15:34:22,120840353,手机app用户的第11次闪电借款,装修,500.0,20.0,2500.0,4882.93,无,暂未提供,21,3803.91,女,12,68,5000-8000（含5000）,无,3,55,无,2017-03-03,2017-08-16 19:58:53,10500.0,B,0.0,薪资收入,13,0
pdu4****84115,2018-07-10 15:37:53,120841108,pdu4****84115第11次借款,日常消费,1500.0,20.0,14000.0,16511.15,无,私营业主,23,7483.2,男,15,67,5000-8000（含5000）,无,3,66,无,2016-01-15,2016-05-19 18:20:42,37498.0,B,0.0,薪资收入,1,0
pdu5****34145,2018-07-10 15:43:49,120842198,手机app用户的第20次闪电借款,日常消费,2678.0,20.0,5000.0,13420.07,无,暂未提供,26,10640.26,男,25,80,8000-15000（含8000）,无,3,80,无,2016-10-05,2017-01-20 09:23:12,45512.0,B,1000.0,经营收入,0,0
a****e,2018-07-10 15:52:45,120843710,a****e第15次借款,日常消费,1800.0,20.0,9380.0,19009.78,无,暂未提供,45,9116.26,男,16,101,15000及以上,无,3,99,无,2014-11-28,2014-11-28 11:55:11,68974.0,B,0.0,薪资收入,2,0
pdu0****10670,2018-07-10 15:53:31,120843828,pdu0****10670第9次借款,旅游,1600.0,20.0,8100.0,9959.39,无,暂未提供,39,9959.39,女,10,44,8000-15000（含8000）,无,3,44,无,2017-05-26,2017-06-06 23:26:51,34121.0,B,4019.0,薪资收入,0,0
pdu4****02812,2018-07-10 16:08:18,120846245,pdu4****02812第10次借款,旅游,638.0,20.0,3900.0,4219.5,无,暂未提供,21,2551.03,男,11,38,2000-5000（含2000）,无,3,38,无,2017-07-21,2017-07-21 11:01:32,13754.0,B,0.0,个人存款,0,0
pdu2****81202,2018-07-10 16:10:31,120846581,pdu2****81202第14次借款,装修,3000.0,20.0,5000.0,12781.16,无,暂未提供,31,6873.06,男,18,103,8000-15000（含8000）,无,3,98,无,2016-01-02,2016-01-02 10:39:22,41100.0,B,5100.0,薪资收入,5,0
pdu5****85082,2018-07-10 16:33:45,120850070,pdu5****85082第12次借款,日常消费,2568.0,20.0,16095.0,25775.73,无,私营业主,28,24595.41,男,16,42,15000及以上,无,3,42,无,2016-08-09,2016-08-09 16:20:24,112452.0,B,0.0,个人存款,0,0
pdu3****03238,2018-07-10 16:35:40,120850352,手机app用户的第9次闪电借款,日常消费,1000.0,20.0,9500.0,15387.03,成人,暂未提供,32,11033.36,男,10,32,5000-8000（含5000）,专科,3,30,浙江广厦建设职业技术学院,2017-06-19,2017-06-19 21:43:30,32055.0,B,0.0,薪资收入,2,0
pdu5****60766,2018-07-10 16:42:23,120851319,手机app用户的第6次闪电借款,日常消费,1200.0,20.0,10000.0,11996.43,无,私营业主,31,8569.54,女,10,34,2000-5000（含2000）,无,3,34,无,2017-05-01,2017-07-15 13:03:18,28970.0,B,0.0,薪资收入,0,0
pdu8****70580,2018-07-10 16:43:44,120851531,pdu8****70580第11次借款,装修,2056.0,20.0,10333.0,23255.01,无,私营业主,40,13425.55,女,13,62,8000-15000（含8000）,无,3,60,无,2017-02-24,2017-03-02 10:22:25,63188.0,B,424.0,个人存款,2,0
pdu1****46075,2018-07-10 16:49:25,120852346,pdu1****46075第12次借款,日常消费,1621.0,20.0,5598.0,11062.26,普通全日制,暂未提供,30,6224.28,男,12,66,8000-15000（含8000）,专科,3,44,华北水利水电学院,2016-06-25,2016-06-25 13:58:22,36914.0,B,37401.0,个人存款,22,0
pdu4****61822,2018-07-10 16:58:45,120853674,pdu4****61822第8次借款,旅游,2300.0,20.0,10000.0,12880.05,无,暂未提供,45,12781.46,女,13,49,5000-8000（含5000）,无,3,49,无,2017-01-24,2017-02-03 13:34:36,40964.0,B,61875.0,薪资收入,0,0
pdu2****82230,2018-07-10 17:17:51,120856303,手机app用户的第4次闪电借款,生产经营,2400.0,20.0,5900.0,8406.36,无,暂未提供,30,4867.74,女,6,16,5000-8000（含5000）,无,3,16,无,2017-07-21,2017-07-21 22:14:06,16769.0,B,0.0,经营收入,0,0
pdu0****63354,2018-07-10 17:21:04,120856673,pdu0****63354第3次借款,日常消费,1400.0,20.0,7000.0,9554.98,无,私营业主,36,5418.84,女,3,11,5000-8000（含5000）,无,3,8,无,2017-01-16,2018-02-25 11:04:09,9400.0,B,3691.0,薪资收入,3,0
pdu6****70535,2018-07-11 13:19:10,120960957,pdu6****70535第9次借款,装修,1000.0,20.0,8000.0,9384.99,无,暂未提供,27,0.0,男,9,51,5000-8000（含5000）,无,3,51,无,2016-10-02,2017-01-20 20:44:20,22824.0,B,7000.0,个人存款,0,0
